,,, pm25, pm25, pm25
,,,min,max,mean
date,date,City,,,
2018,10,Pado-Ri,22.0,96.0,53.44827586206897
2018,10,Paju,16.0,112.0,55.516129032258064
2018,10,Sangjusi,16.0,146.0,67.58620689655173
2018,10,Seolseong-Myeon,13.0,142.0,68.12903225806451
2018,10,Seonggeoeup,19.0,145.0,67.41379310344827
2018,11,Bangsan-Myeon,,,
2018,11,Geumchon-Dong,30.0,162.0,104.53333333333333
2018,11,Gwanak-Gu,37.0,170.0,100.1
2018,11,Jeongnim-Dong,41.0,145.0,82.6
2018,11,Jungang-Way,12.0,125.0,84.93333333333334
2018,11,Juwol-Dong,66.0,165.0,106.56666666666666
2018,11,Nowon-Gu,27.0,136.0,80.26666666666667
2018,11,Pado-Ri,31.0,115.0,73.46666666666667
2018,11,Paju,12.0,154.0,87.06666666666666
2018,11,Sangjusi,61.0,138.0,102.83333333333333
